10 Second Ninja X,"Win, PS4, XBO, PSVita"
XCOM 2,"Win, Mac, Lin"
XCOM 2,"PS4, XBO"
XCOM: Enemy Unknown,PSVita
Xenoraid,Win
Yakuza 6,PS4
Yakuza Kiwami,"PS3, PS4"
Yesterday Origins,"Win, PS4, XBO"
Yo-kai Watch 2,3DS
Yomawari: Night Alone,"Win, PSVita"
Zenith,"Win, PS4"
Zero Time Dilemma,"PSVita, 3DS"
Zero Time Dilemma,Win
